species,lower_bound,upper_bound
N,0.01,0.4
S,0.02,0.02
S_aa1,1.00E-10,1.00E-10
S_aa2,1.00E-10,1.00E-10
B,1.00E-71,1.00E-71
A,0.1,0.1
V,1.00E-80,1.00E-80
I,1.00E-13,1.00E-08
