"sim_idx","batch_idx","population_num","exp_num","model_ref","Accepted","integ_error","d1","d2","d3"
0,7,1,"1",2,True,"",0.0,4.440892098500626e-15,0.500332973478053
1,7,1,"1",2,True,"",0.0,6.661338147750939e-15,0.5001768249811159
2,7,1,"1",1,True,"",0.0,4.440892098500626e-15,0.5996184950774306
3,7,1,"1",1,True,"",0.0,8.215650382226158e-15,0.5142771598454533
4,7,1,"1",0,True,"",0.0,1.7763568394002505e-15,0.5001237708867833
5,7,1,"1",2,True,"",0.0,3.9968028886505635e-15,0.50035439053731
6,7,1,"1",2,True,"",0.0,3.774758283725532e-15,0.5001932366009636
7,7,1,"1",2,True,"",0.0,0.0,0.5002211174471942
8,7,1,"1",0,True,"",0.0,3.3306690738754696e-15,0.501182083084097
9,7,1,"1",1,True,"",0.0,2.886579864025407e-15,0.8707142269080078
0,8,1,"1",0,True,"",0.0,7.105427357601002e-15,0.5006636871441775
1,8,1,"1",0,True,"",0.0,5.551115123125783e-15,0.5001101198654252
2,8,1,"1",0,True,"",0.0,4.368865143248089e-15,0.5002376826050082
3,8,1,"1",2,True,"",0.0,6.8833827526759706e-15,0.5001695319847941
4,8,1,"1",2,True,"",2.220446049250313e-16,4.775249788392737e-15,0.5002273586194207
5,8,1,"1",1,True,"",0.0,6.8833827526759706e-15,0.5006559308510161
6,8,1,"1",2,True,"",2.220446049250313e-16,8.918354318479817e-14,0.50005111476748
7,8,1,"1",1,True,"",0.0,9.547918011776346e-15,0.500195569673662
8,8,1,"1",2,True,"",0.0,4.884981308350689e-15,0.5000574102123685
9,8,1,"1",1,True,"",0.0,6.217248937900877e-15,0.5007610043420913
0,9,1,"1",0,True,"",0.0,8.881784197001252e-16,0.5004205714751873
1,9,1,"1",2,True,"",0.0,6.8833827526759706e-15,0.5048176625298942
2,9,1,"1",0,True,"",0.0,4.884981308350689e-15,0.5205102803083126
3,9,1,"1",0,True,"",0.0,6.8833827526759706e-15,0.5330178674859337
4,9,1,"1",2,True,"",0.0,8.215650382226158e-15,0.5006350443966933
5,9,1,"1",0,True,"",0.0,5.773159728050814e-15,0.5002846830212148
6,9,1,"1",2,True,"",0.0,5.773159728050814e-15,0.500243866481849
7,9,1,"1",0,True,"",0.0,7.771561172376096e-15,0.5002465272913909
8,9,1,"1",2,True,"",0.0,7.105427357601002e-15,0.5002413279445488
9,9,1,"1",1,True,"",5.551115123125783e-17,6.944442800358888e-16,2.947630526960159
