"sim_idx","batch_idx","population_num","exp_num","model_ref","Accepted","integ_error","d1","d2","d3"
0,0,1,"1",1,True,"",2.220446049250313e-16,4.109325218620118e-15,0.5018123013494646
1,0,1,"1",2,True,"",0.0,8.215650382226158e-15,0.5001826297993635
2,0,1,"1",2,True,"",0.0,8.659739592076221e-15,0.5001755735943393
3,0,1,"1",2,True,"",0.0,5.773159728050814e-15,0.5001197788743008
4,0,1,"1",0,True,"",2.498001805406602e-16,5.646216338483774e-14,4.035386380278635
5,0,1,"1",1,True,"",0.0,3.9968028886505635e-15,0.5007635711665384
6,0,1,"1",1,True,"",0.0,1.3322676295501878e-15,3.1804445122617224
7,0,1,"1",0,True,"",0.0,7.327471962526033e-15,0.5001493156576181
8,0,1,"1",2,True,"",0.0,8.659739592076221e-15,0.5000311311533578
9,0,1,"1",0,True,"",0.0,1.5543122344752192e-15,0.6874769379904876
0,1,1,"1",2,True,"",0.0,6.8833827526759706e-15,0.5002759991685959
1,1,1,"1",1,True,"",0.0,7.771561172376096e-15,0.5033763287899501
2,1,1,"1",1,True,"",0.0,3.3306690738754696e-15,0.5003277558555906
3,1,1,"1",2,True,"",0.0,5.995204332975845e-15,0.5000962718299843
4,1,1,"1",2,True,"",0.0,6.439293542825908e-15,0.5004894415868719
5,1,1,"1",1,True,"",0.0,1.9984014443252818e-15,0.5003037068438037
6,1,1,"1",1,True,"",0.0,8.881784197001252e-15,0.5002880919426902
7,1,1,"1",0,True,"",0.0,4.440892098500626e-15,0.5001294826357169
8,1,1,"1",1,True,"",0.0,5.10702591327572e-15,0.5010752001033554
9,1,1,"1",2,True,"",0.0,7.105427357601002e-15,0.500051446370879
0,2,1,"1",2,True,"",0.0,2.6645352591003757e-15,0.500309491199135
1,2,1,"1",0,True,"",0.0,3.3306690738754696e-16,2.32365687199483
2,2,1,"1",2,True,"",0.0,7.105427357601002e-15,0.500128795621517
3,2,1,"1",0,True,"",0.0,3.774758283725532e-15,0.5002494426986843
4,2,1,"1",0,True,"",0.0,2.6645352591003757e-15,0.8817009167882498
5,2,1,"1",0,True,"",0.0,4.440892098500626e-16,0.7850866991845403
6,2,1,"1",0,True,"",0.0,3.9968028886505635e-15,0.5001760945794951
7,2,1,"1",0,True,"",1.1728396032140154e-12,2.172778265880849e-10,0.5000147470613812
8,2,1,"1",2,True,"",0.0,4.884981308350689e-15,0.5001778488060907
9,2,1,"1",1,True,"",0.0,1.3322676295501878e-15,0.5001085411126935
0,3,1,"1",2,True,"",0.0,6.661338147750939e-15,0.5000927555671522
1,3,1,"1",2,True,"",0.0,2.4424906541753444e-15,0.5001279016896986
2,3,1,"1",1,True,"",0.0,2.4424906541753444e-15,0.5011792595374439
3,3,1,"1",2,True,"",0.0,6.217248937900877e-15,0.5003306241057022
4,3,1,"1",0,True,"",0.0,2.6645352591003757e-15,0.9847108392394828
5,3,1,"1",1,True,"",0.0,3.774758283725532e-15,0.5029359926306182
6,3,1,"1",2,True,"",0.0,2.220446049250313e-15,0.500625865432681
7,3,1,"1",1,True,"",0.0,4.218847493575595e-15,0.5024061430339992
8,3,1,"1",2,True,"",0.0,1.9984014443252818e-15,0.5000769736840015
9,3,1,"1",1,True,"",2.220446049250313e-16,1.0260882646272913e-13,0.5199412884245955
0,4,1,"1",1,True,"",0.0,4.440892098500626e-15,0.5002045791143445
1,4,1,"1",2,True,"",0.0,3.774758283725532e-15,0.500535565410178
2,4,1,"1",2,True,"",0.0,8.43769498715119e-15,0.5001977734606964
3,4,1,"1",0,True,"",0.0,1.9984014443252818e-15,0.7982405240651747
4,4,1,"1",1,True,"",0.0,2.6645352591003757e-15,0.500187775522849
5,4,1,"1",2,True,"",0.0,7.105427357601002e-15,0.5000212120779256
6,4,1,"1",2,True,"",0.0,9.769962616701378e-15,0.5002413421308212
7,4,1,"1",1,True,"",0.0,2.914335439641036e-16,9.063235610805538
8,4,1,"1",2,True,"",0.0,5.995204332975845e-15,0.5000279887358211
9,4,1,"1",0,True,"",0.0,5.995204332975845e-15,0.5003486550619264
0,5,1,"1",0,True,"",0.0,1.1102230246251565e-15,0.500916161731131
1,5,1,"1",2,True,"",0.0,6.661338147750939e-15,0.5002119483112556
2,5,1,"1",2,True,"",0.0,6.217248937900877e-15,0.500038743193988
3,5,1,"1",1,True,"",0.0,1.5543122344752192e-15,0.5002505273437937
4,5,1,"1",1,True,"",0.0,6.217248937900877e-15,0.5000612582294153
5,5,1,"1",2,True,"",0.0,4.218847493575595e-15,0.5000723809247263
6,5,1,"1",1,True,"",0.0,9.547918011776346e-15,0.5016201043902663
7,5,1,"1",1,True,"",0.0,5.995204332975845e-15,0.5001123427823727
8,5,1,"1",1,True,"",0.0,4.884981308350689e-15,0.650896997678062
9,5,1,"1",1,True,"",0.0,5.773159728050814e-15,0.5115568455804346
0,6,1,"1",2,True,"",0.0,5.329070518200751e-15,0.5001066331771279
1,6,1,"1",2,True,"",0.0,7.549516567451064e-15,0.5010552444635684
2,6,1,"1",2,True,"",0.0,8.881784197001252e-16,0.5002198498872057
3,6,1,"1",2,True,"",0.0,5.995204332975845e-15,0.5000863239767992
4,6,1,"1",1,True,"",0.0,5.10702591327572e-15,0.5041071402575173
5,6,1,"1",0,True,"",0.0,7.771561172376096e-16,2.3665613878051115
6,6,1,"1",1,True,"",0.0,1.9984014443252818e-15,0.5003544895861228
7,6,1,"1",1,True,"",0.0,1.9984014443252818e-15,1.863936595764696
8,6,1,"1",0,True,"",0.0,5.551115123125783e-15,0.5001019481030351
9,6,1,"1",2,True,"",0.0,7.549516567451064e-15,0.5002509954222786
