,model_idx,accepted_count_0,simulated_count_0,model_marginal_0,accepted_count_1,simulated_count_1,model_marginal_1,accepted_count,simulated_count,model_marginal,model_marginal_std,model_marginal_mean
0,1,42,43,0.3224331170338658,47,47,0.3501978890813956,32,32,0.40016801885497183,0.032163836486160696,0.3575996749900778
1,2,50,50,0.3664048477255856,30,30,0.3237707742945382,42,42,0.3463047074286578,0.017414738329527085,0.3454934431495939
2,0,17,17,0.3111620352405484,32,33,0.326031336624066,26,26,0.2535272737163703,0.031268907165116135,0.29690688186032826
