,V_0,V_1,V_2,V_3,model_idx
0,0.0,1.0,1.0,0.29544170718678103,1
1,0.0,0.0,0.0,1.0,2
2,1.0,0.0,5.736015191431218e-16,8.412942640268817e-14,0
