"D","K_A_B_1","k_omega_B_1","kA_1","kB_max_1","mu_max_1","n_A_B_1","n_omega","omega_max","N_1"
"D",1,-0.0953825761073815,0.025086490336665,-0.153585020030885,0.141206220367727,0.121583397636457,-0.024809320467126,0.166021085471546,0.231462850227498,0.211681355832405
"K_A_B_1",-0.0953825761073815,1,-0.167994141689972,0.087793195972582,0.0263233744088978,0.00979138877330436,0.0426987499178404,0.0377682270039882,-0.0202191141392778,0.144193834821481
"k_omega_B_1",0.025086490336665,-0.167994141689972,1,0.229072251392201,0.167911261155004,0.0989378402032451,0.0668706312860072,-0.135150004984211,-0.0448082416176439,-0.164522594704699
"kA_1",-0.153585020030885,0.087793195972582,0.229072251392201,1,0.0255801820520048,-0.12880969047422,0.219468918090691,-0.190081874286006,0.0114135447821123,-0.164260275008503
"kB_max_1",0.141206220367727,0.0263233744088978,0.167911261155004,0.0255801820520048,1,0.209593225765077,0.0510552272145839,-0.129960911898857,0.00390280848045447,0.124675702711356
"mu_max_1",0.121583397636457,0.00979138877330436,0.0989378402032451,-0.12880969047422,0.209593225765077,1,-0.0468129953630101,-0.0887999910659356,0.174846184620273,-0.0289975376665781
"n_A_B_1",-0.024809320467126,0.0426987499178404,0.0668706312860072,0.219468918090691,0.0510552272145839,-0.0468129953630101,1,-0.0478398848081956,-0.0707457824000742,0.181225648812686
"n_omega",0.166021085471546,0.0377682270039882,-0.135150004984211,-0.190081874286006,-0.129960911898857,-0.0887999910659356,-0.0478398848081956,1,0.0724919715876181,0.0660513193787271
"omega_max",0.231462850227498,-0.0202191141392778,-0.0448082416176439,0.0114135447821123,0.00390280848045447,0.174846184620273,-0.0707457824000742,0.0724919715876181,1,0.0343178723943024
"N_1",0.211681355832405,0.144193834821481,-0.164522594704699,-0.164260275008503,0.124675702711356,-0.0289975376665781,0.181225648812686,0.0660513193787271,0.0343178723943024,1
