"sim_idx","batch_idx","population_num","exp_num","model_ref","Accepted","integ_error","d1","d2","d3"
0,0,1,0,2,True,"",2.220446049250313e-16,4.997237039695301e-15,0.5002564255319364
1,0,1,0,0,True,"",0.0,2.6645352591003757e-15,0.5002043305879391
2,0,1,0,2,True,"",0.0,1.5543122344752192e-15,0.5000690207709532
3,0,1,0,2,True,"",0.0,4.218847493575595e-15,0.5006295833075803
4,0,1,0,2,True,"",0.0,5.773159728050814e-15,0.5000225880911737
6,0,1,0,1,True,"",0.0,5.551115123125783e-15,0.5002337802596406
7,0,1,0,2,True,"",0.0,1.021405182655144e-14,0.5005588439829927
8,0,1,0,2,True,"",0.0,1.5543122344752192e-15,0.5000263869897965
9,0,1,0,2,True,"",0.0,5.329070518200751e-15,0.5000732854197464
0,1,1,0,2,True,"",0.0,7.549516567451064e-15,0.5001696497019816
1,1,1,0,1,True,"",0.0,8.881784197001252e-15,0.5240435654583662
2,1,1,0,2,True,"",0.0,4.440892098500626e-15,0.5008896380108193
3,1,1,0,1,True,"",0.0,7.327471962526033e-15,0.7303198546477173
4,1,1,0,2,True,"",0.0,2.6645352591003757e-15,0.5001992532423367
5,1,1,0,0,True,"",0.0,3.9968028886505635e-15,0.5002338961776652
6,1,1,0,0,True,"",0.0,5.10702591327572e-15,0.5001333884028799
7,1,1,0,1,True,"",0.0,8.43769498715119e-15,0.5009706062275194
8,1,1,0,2,True,"",0.0,8.881784197001252e-15,0.5015944925692051
9,1,1,0,2,True,"",0.0,9.325873406851315e-15,0.5001840435651337
0,2,1,0,1,True,"",0.0,2.0816681711721685e-16,10.732410587365132
1,2,1,0,1,True,"",0.0,1.1102230246251565e-15,1.9946527938236742
2,2,1,0,1,True,"",0.0,1.1102230246251565e-15,0.5003681150129563
3,2,1,0,2,True,"",0.0,4.218847493575595e-15,0.500027084914418
4,2,1,0,1,True,"",0.0,3.3306690738754696e-15,0.5046428644601317
5,2,1,0,2,True,"",0.0,3.552713678800501e-15,0.5000354571419877
6,2,1,0,1,True,"",0.0,0.0,0.5003385122127442
7,2,1,0,0,True,"",0.0,1.7763568394002505e-15,0.5001330740251905
8,2,1,0,2,True,"",0.0,3.552713678800501e-15,0.5018462301845174
9,2,1,0,2,True,"",0.0,5.10702591327572e-15,0.5002500520275008
0,3,1,0,1,True,"",0.0,5.995204332975845e-15,0.5001292394533631
1,3,1,0,2,True,"",0.0,8.881784197001252e-15,0.5000385498350247
